0.748,0.558
0.748,0.558
0.748,0.558
0.748,0.558
0.728,0.558
0.707,0.558
0.687,0.558
0.667,0.558
0.648,0.558
0.629,0.558
0.611,0.558
0.593,0.558
0.575,0.558
0.558,0.558
0.54,0.558
0.523,0.558
0.506,0.558
0.489,0.558
0.473,0.558
0.458,0.558
0.441,0.558
0.425,0.558
0.41,0.558
0.394,0.558
0.378,0.558
0.364,0.558
0.348,0.558
0.333,0.558
0.319,0.558
0.305,0.558
0.291,0.558
0.276,0.558
0.261,0.558
0.248,0.558
0.234,0.558
0.22,0.558
0.208,0.558
0.197,0.558
0.184,0.558
0.171,0.558
0.158,0.558
0.152,0.558
0.143,0.558
0.135,0.558
0.126,0.558
0.121,0.558
0.115,0.558
